S5,S7,S6,S1,S7
O,S8,W,S6,P
S5,O,S1,S1,S3
S3,S1,S1,S2,S4
S5,S2,S4,S5,S6
O,C,C,S1,S1
O,O,S6,S7,O
S2,S7,S5,S4,O
S8,S6,C,S3,S2
W,S3,S5,C,S3
S5,S6,S1,S6,S6
S1,O,S2,S6,S1
O,O,C,S5,O
S7,S7,S5,C,C
O,S3,O,W,O
S1,S8,O,S4,S8
C,S8,W,S8,O
O,S1,S4,S1,S7
S1,W,S6,S2,S4
S2,W,S2,S5,O
S8,W,S1,S5,O
S1,S5,W,S5,O
S8,O,S6,O,W
S3,S4,C,S1,O
O,S5,S5,S3,S4
S5,O,W,S4,S2
S6,S1,S3,O,S3
S6,S1,S6,S8,S2
S1,S5,S6,S7,S1
S1,S2,S2,S6,O
S3,S8,W,S4,S5
W,S5,O,S3,S5
W,S4,P,S7,S2
W,W,S3,S6,S2
S6,S7,S8,S8,S3
S5,W,S7,O,O
O,O,S7,W,C
O,O,C,C,S1
O,O,C,S1,S8
S2,S8,S4,S1,S6
O,C,S5,W,P
S2,S1,S1,O,O
S8,O,O,O,S5
S6,S3,O,O,S3
W,S6,O,W,S1
O,P,O,W,S6
O,S3,O,S4,P
O,S7,S5,O,O
S8,S1,S3,S7,O
S4,O,S8,W,S2
W,S1,O,O,S4
S4,O,S1,O,S1
S7,W,S2,O,S6
S4,C,S3,S8,O
S1,W,O,S2,W
S6,S7,W,S6,S6
S8,S2,O,S7,S7
S4,S1,S4,O,S2
S2,S7,O,S8,O
S6,S8,S7,S4,W
W,W,W,C,O
S5,S2,C,S5,S5
O,S8,W,O,S5
S7,S4,S1,S6,S3
S4,S2,W,C,S7
S8,S5,S2,S2,S5
O,S5,S5,C,S2
S5,S3,O,P,W
S6,O,O,S5,P
SC,S6,S6,S3,O
O,S1,S6,S1,O
S4,W,S2,S5,S5
O,C,O,O,O
C,S8,S3,S6,O
O,S6,S1,S3,S5
S2,S5,S8,S2,S6
S5,O,S5,W,O
O,S5,S1,O,O
S1,S1,W,S7,W
S3,W,O,S7,S4
S7,C,O,S2,S3
S2,O,S1,S1,S5
S6,C,O,S7,SC
P,S7,S8,O,S4
W,S8,S2,S2,S1
C,S1,S5,S6,C
P,S5,S1,S5,S5
W,W,O,S4,S3
S3,O,S2,W,O
S1,S3,W,O,S5
O,W,O,W,W
C,S1,S5,O,S6
C,S5,S3,S2,S1
S7,W,S5,O,O
O,S6,W,SC,W
S2,S5,O,W,S1
S5,O,S1,S7,S6
O,S7,S2,O,S1
S1,S4,O,O,S6
S2,C,O,C,C
S4,O,S3,O,S8
S7,S5,O,S6,S7
O,O,S2,O,S7
S6,S1,W,O,O
S1,S1,S4,W,O
S4,S4,P,O,S8
O,S5,S4,O,W
S6,O,O,S5,S5
O,S2,C,O,S6
S6,C,S7,S2,S2
S6,S3,S6,S2,O
S7,O,C,O,S4
S5,O,O,O,S7
C,S4,S7,O,S4
W,S1,O,S1,W
W,SC,S7,S1,O
S5,S1,P,O,S8
C,P,O,O,S8
W,O,S7,S6,S5
S5,P,O,S7,S5
O,S4,O,S8,P
SC,C,P,O,O
S1,W,S8,O,S2
S4,S1,S3,S3,O
S7,S5,S3,S5,S7
S6,S8,O,S1,S5
S7,W,S2,S5,P
S7,O,S2,C,S5
O,O,S3,S8,S4
S4,O,O,S3,O
S5,S6,O,S2,S2
S4,O,O,S6,S3
W,C,O,P,S1
W,S6,S8,S8,S6
S6,O,S5,S5,O
S3,S6,SC,W,S4
S5,W,O,S5,O
S2,S1,S7,S5,W
S6,O,S7,W,O
O,SC,S5,P,S2
O,C,W,O,O
S1,S2,S3,O,O
S6,W,S6,O,S6
O,S5,S5,S4,S1
S7,S4,S6,O,O
C,S6,S8,S3,C
S7,S6,S1,O,S1
S3,C,P,O,S7
W,S4,S6,S8,S7
S3,S2,S4,C,S4
O,S3,S3,S5,O
S4,W,S6,S7,O
O,S1,O,P,S2
O,O,S2,W,O
S2,S6,W,P,W
S1,S7,S4,O,W
S3,O,S5,S2,S4
S8,O,S8,W,O
S5,O,S3,S2,W
S2,W,C,O,C
S3,S7,S5,S1,S4
S3,S3,W,S6,C
S8,W,S5,S1,S1
O,S8,O,S5,O
O,S4,S8,S5,S6
S6,S3,W,S5,S4
S1,W,S6,C,S4
S5,O,O,W,S7
S3,S2,S6,W,S8
S1,S4,S3,O,S8
S5,S3,O,S3,C
W,O,S6,S1,S3
P,O,S4,O,S8
P,O,O,C,S7
S8,P,S1,S4,S3
S1,S5,S7,W,S3
S1,S3,S1,O,W
S2,W,W,S8,O
S1,P,S2,C,S1
S3,S1,S1,O,S8
S1,S2,S3,O,W
S8,W,S2,S8,S1
O,S2,S4,S7,S7
S6,S7,O,W,C
S6,S3,C,S8,S6
S1,C,O,O,P
S8,S2,S1,S1,S8
W,S2,S1,S8,S1
W,O,S7,S6,S7
W,S4,S1,S5,O
S6,O,S7,S4,S2
S3,S8,S5,S6,W
S2,S7,S4,S4,O
S5,S5,O,S3,W
O,O,S7,S3,S2
S7,S2,O,S1,S7
C,S4,S2,S2,S3
W,S1,C,S1,C
W,S5,O,S3,C
S7,S3,S6,S1,S5
S2,S2,S7,S3,S6
W,S7,SC,P,S6
S7,O,S8,W,S8
S1,S4,S6,S2,S8
O,W,O,S7,S3
C,O,S8,S6,S1
C,S5,S2,P,W
S4,S8,O,S1,S2
O,O,S6,S5,S5
C,O,S1,S4,O
S8,S6,O,S3,S2
S3,O,S8,S5,S8
C,S2,W,O,S3
P,S5,C,S7,C
O,S8,S5,S1,S2
O,O,S1,O,S7
S2,S3,S1,S4,O
S7,S1,O,W,S8
S4,S7,S3,C,S3
S5,S3,S6,S5,W
O,S1,O,S4,S5
S8,S5,S6,S7,S6
O,S4,S4,S4,S4
S1,O,W,W,O
O,S8,S4,C,S1
O,S6,S3,O,S5
O,S6,S7,S6,S2
C,S4,O,S6,W
O,S2,S8,C,S2
S4,P,S4,O,S2
S5,W,O,S2,S6
S8,S6,P,S3,S6
S4,O,S2,S8,O
S8,W,S5,O,S3
S3,S5,S4,O,S2
